"order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name_x,name,city,membership,restaurant_name_y,cuisine,rating"
"25,25.0,18,07-06-2023,147.9,Annapurna Kitchen Family Restaurant,User_25,Hyderabad,Gold,Restaurant_18,Italian,4.5"
"26,26.0,129,24-12-2023,933.31,New Cafe North Indian,User_26,Hyderabad,Gold,Restaurant_129,Indian,4.1"
"27,27.0,399,08-08-2023,678.38,Swagath Cafe Multicuisine,User_27,Pune,Gold,Restaurant_399,Chinese,3.2"
"28,28.0,63,23-03-2023,900.74,Ruchi Foods South Indian,User_28,Pune,Regular,Restaurant_63,Italian,5.0"
"29,29.0,115,20-09-2023,903.0,Annapurna Eatery Non-Veg,User_29,Hyderabad,Gold,Restaurant_115,Chinese,3.3"
"30,30.0,18,23-04-2023,996.26,Annapurna Kitchen Family Restaurant,User_30,Bangalore,Gold,Restaurant_18,Italian,4.5"
"31,31.0,190,03-04-2023,199.16,Amma Restaurant Pure Veg,User_31,Pune,Gold,Restaurant_190,Chinese,3.1"
"32,32.0,93,26-01-2023,741.1,Swagath Cafe Multicuisine,User_32,Bangalore,Regular,Restaurant_93,Chinese,4.9"
"33,33.0,346,04-07-2023,957.07,Amma Dhaba Non-Veg,User_33,Hyderabad,Regular,Restaurant_346,Indian,4.5"
"34,34.0,350,15-06-2023,455.96,Classic Curry House South Indian,User_34,Chennai,Regular,Restaurant_350,Mexican,3.2"
"35,35.0,291,15-05-2023,121.81,Annapurna Foods Non-Veg,User_35,Hyderabad,Regular,Restaurant_291,Mexican,4.3"
"36,36.0,113,12-09-2023,140.83,Darbar Biryani Pure Veg,User_36,Bangalore,Gold,Restaurant_113,Chinese,5.0"
"37,37.0,34,01-02-2023,1198.64,Ruchi Dhaba Multicuisine,User_37,Bangalore,Regular,Restaurant_34,Chinese,4.3"
"38,38.0,376,11-01-2023,751.82,Amma Cafe Non-Veg,User_38,Chennai,Gold,Restaurant_376,Indian,3.4"
"39,39.0,170,23-02-2023,596.06,Spice Tiffins Family Restaurant,User_39,Hyderabad,Regular,Restaurant_170,Mexican,4.4"
"40,40.0,63,25-07-2023,622.5,Ruchi Foods South Indian,User_40,Hyderabad,Regular,Restaurant_63,Italian,5.0"
"41,41.0,145,09-01-2023,753.16,Amma Restaurant South Indian,User_41,Bangalore,Regular,Restaurant_145,Italian,3.1"
"42,42.0,121,21-01-2023,955.51,Sri Delights Non-Veg,User_42,Bangalore,Regular,Restaurant_121,Indian,4.1"
"43,43.0,256,26-03-2023,850.52,Sri Curry House Andhra,User_43,Bangalore,Regular,Restaurant_256,Italian,3.1"
"44,44.0,161,04-12-2023,512.14,Annapurna Biryani South Indian,User_44,Chennai,Gold,Restaurant_161,Mexican,3.8"
"45,45.0,426,13-09-2023,914.87,Royal Foods Non-Veg,User_45,Hyderabad,Gold,Restaurant_426,Chinese,3.5"
"46,46.0,72,25-12-2023,602.82,Sri Foods Chinese,User_46,Bangalore,Regular,Restaurant_72,Mexican,3.4"
"47,47.0,69,30-09-2023,929.24,Classic Tiffins Punjabi,User_47,Chennai,Regular,Restaurant_69,Chinese,4.9"
"48,48.0,397,30-11-2023,957.14,Amma Foods Family Restaurant,User_48,Chennai,Gold,Restaurant_397,Indian,4.8"
"49,49.0,234,10-02-2023,183.82,Swagath Kitchen North Indian,User_49,Chennai,Regular,Restaurant_234,Chinese,3.7"
"50,50.0,118,26-09-2023,298.54,Amma Mess Pure Veg,User_50,Hyderabad,Regular,Restaurant_118,Mexican,3.8"
"51,51.0,381,10-05-2023,893.66,New Delights North Indian,User_51,Hyderabad,Regular,Restaurant_381,Italian,4.6"
"52,52.0,462,18-08-2023,1423.59,Grand Curry House Family Restaurant,User_52,Chennai,Regular,Restaurant_462,Italian,3.1"
"53,53.0,262,14-12-2023,261.16,Hotel Cafe Punjabi,User_53,Hyderabad,Gold,Restaurant_262,Chinese,4.9"
"54,54.0,266,06-09-2023,334.11,Annapurna Delights Multicuisine,User_54,Chennai,Regular,Restaurant_266,Italian,3.9"
"55,55.0,172,08-06-2023,838.38,Darbar Eatery Family Restaurant,User_55,Bangalore,Regular,Restaurant_172,Italian,3.9"
"56,56.0,215,20-10-2023,1499.8,Spice Biryani Punjabi,User_56,Chennai,Gold,Restaurant_215,Mexican,4.4"
"57,57.0,273,16-06-2023,852.11,Swagath Delights Andhra,User_57,Pune,Regular,Restaurant_273,Indian,3.9"
"58,58.0,361,22-02-2023,1281.55,Royal Dhaba Punjabi,User_58,Bangalore,Regular,Restaurant_361,Indian,4.5"
"59,59.0,247,07-11-2023,169.22,Hotel Mess Punjabi,User_59,Bangalore,Regular,Restaurant_247,Mexican,3.2"
"60,60.0,373,10-04-2023,544.55,Sai Delights Chinese,User_60,Chennai,Gold,Restaurant_373,Indian,3.6"
"61,61.0,130,30-08-2023,1134.71,Royal Restaurant South Indian,User_61,Pune,Gold,Restaurant_130,Indian,4.6"
"62,62.0,165,24-11-2023,722.78,Udupi Kitchen Chinese,User_62,Bangalore,Gold,Restaurant_165,Mexican,4.3"
"63,63.0,339,27-07-2023,1107.3,Annapurna Eatery South Indian,User_63,Pune,Regular,Restaurant_339,Indian,3.1"
"64,64.0,189,09-03-2023,625.41,Hotel Curry House Non-Veg,User_64,Pune,Regular,Restaurant_189,Indian,4.8"
"65,65.0,220,07-04-2023,881.86,Spice Kitchen North Indian,User_65,Pune,Regular,Restaurant_220,Mexican,3.2"
"66,66.0,70,12-08-2023,1356.31,Swagath Delights Punjabi,User_66,Chennai,Gold,Restaurant_70,Chinese,4.7"
"67,67.0,233,07-08-2023,781.02,Grand Cafe Family Restaurant,User_67,Chennai,Regular,Restaurant_233,Italian,4.5"
"68,68.0,292,19-04-2023,165.97,Amma Cafe North Indian,User_68,Pune,Gold,Restaurant_292,Mexican,4.0"
"69,69.0,162,10-07-2023,1377.54,New Foods Multicuisine,User_69,Pune,Regular,Restaurant_162,Italian,3.3"
"70,70.0,463,23-09-2023,890.18,Hotel Delights Chinese,User_70,Bangalore,Gold,Restaurant_463,Chinese,3.2"
"71,71.0,256,18-05-2023,1401.97,Sri Curry House Andhra,User_71,Chennai,Gold,Restaurant_256,Italian,3.1"
"72,72.0,413,28-11-2023,575.36,Sai Curry House Punjabi,User_72,Chennai,Regular,Restaurant_413,Italian,3.3"
"73,73.0,80,19-04-2023,765.76,Spice Mess Chinese,User_73,Chennai,Regular,Restaurant_80,Italian,3.9"
"74,74.0,229,01-12-2023,1223.01,Ruchi Mess Family Restaurant,User_74,Pune,Regular,Restaurant_229,Italian,3.8"
"75,75.0,444,22-08-2023,700.31,Classic Cafe Family Restaurant,User_75,Hyderabad,Gold,Restaurant_444,Chinese,4.7"
"76,76.0,233,28-08-2023,1117.61,Grand Cafe Family Restaurant,User_76,Pune,Regular,Restaurant_233,Italian,4.5"
"77,77.0,80,22-10-2023,851.28,Spice Mess Chinese,User_77,Pune,Regular,Restaurant_80,Italian,3.9"
"78,78.0,432,24-12-2023,271.81,Hotel Eatery Pure Veg,User_78,Pune,Gold,Restaurant_432,Mexican,5.0"
"79,79.0,242,09-03-2023,1052.51,Classic Dhaba Punjabi,User_79,Hyderabad,Regular,Restaurant_242,Mexican,4.0"
"80,80.0,291,23-02-2023,1323.7,Annapurna Foods Non-Veg,User_80,Chennai,Gold,Restaurant_291,Mexican,4.3"
"81,81.0,368,18-08-2023,537.78,Sri Dhaba Pure Veg,User_81,Chennai,Regular,Restaurant_368,Indian,4.4"
"82,82.0,257,11-01-2023,1326.03,Sri Kitchen Family Restaurant,User_82,Hyderabad,Regular,Restaurant_257,Italian,3.4"
"83,83.0,347,03-09-2023,961.02,Amma Delights Chinese,User_83,Chennai,Regular,Restaurant_347,Chinese,4.8"
"84,84.0,196,29-12-2023,488.53,Hotel Curry House Chinese,User_84,Hyderabad,Regular,Restaurant_196,Italian,5.0"
"85,85.0,201,12-11-2023,1102.52,Spice Cafe Pure Veg,User_85,Pune,Gold,Restaurant_201,Mexican,3.4"
"86,86.0,423,28-10-2023,1018.04,Royal Tiffins Multicuisine,User_86,Chennai,Regular,Restaurant_423,Indian,3.2"
"87,87.0,385,14-04-2023,1103.42,Ruchi Mess Multicuisine,User_87,Hyderabad,Regular,Restaurant_385,Chinese,4.4"
"88,88.0,320,01-06-2023,196.11,Hotel Cafe Multicuisine,User_88,Pune,Gold,Restaurant_320,Italian,4.1"
"89,89.0,158,20-06-2023,619.05,Hotel Biryani Pure Veg,User_89,Chennai,Regular,Restaurant_158,Indian,4.5"
"90,90.0,320,16-01-2023,264.05,Hotel Cafe Multicuisine,User_90,Chennai,Gold,Restaurant_320,Italian,4.1"
"91,91.0,476,07-07-2023,391.36,Royal Curry House Multicuisine,User_91,Chennai,Regular,Restaurant_476,Mexican,3.4"
"92,92.0,200,07-01-2023,870.09,Annapurna Restaurant Pure Veg,User_92,Bangalore,Regular,Restaurant_200,Chinese,3.9"
"93,93.0,1,22-01-2023,441.18,Royal Kitchen Family Restaurant,User_93,Bangalore,Regular,Restaurant_1,Chinese,4.8"
"94,94.0,176,10-12-2023,285.28,Classic Delights North Indian,User_94,Chennai,Regular,Restaurant_176,Italian,4.0"
"95,95.0,280,20-02-2023,795.58,Taste of Dhaba Andhra,User_95,Bangalore,Gold,Restaurant_280,Chinese,3.7"
"96,96.0,157,17-09-2023,711.84,Sai Restaurant Family Restaurant,User_96,Pune,Regular,Restaurant_157,Italian,4.5"
"97,97.0,335,18-09-2023,190.14,New Biryani Family Restaurant,User_97,Bangalore,Gold,Restaurant_335,Italian,3.9"
"98,98.0,161,05-12-2023,1225.83,Annapurna Biryani South Indian,User_98,Pune,Regular,Restaurant_161,Mexican,3.8"
"99,99.0,11,25-11-2023,146.68,Taste of Kitchen Family Restaurant,User_99,Pune,Regular,Restaurant_11,Chinese,4.9"
"100,100.0,484,15-12-2023,632.94,Taste of Biryani Punjabi,User_100,Chennai,Regular,Restaurant_484,Mexican,4.2"
"101,101.0,96,24-09-2023,852.59,Annapurna Biryani Non-Veg,User_101,Chennai,Regular,Restaurant_96,Mexican,4.4"
"102,102.0,482,07-03-2023,913.83,Classic Tiffins Pure Veg,User_102,Hyderabad,Regular,Restaurant_482,Chinese,4.5"
"103,103.0,492,11-04-2023,1017.18,Swagath Kitchen North Indian,User_103,Hyderabad,Regular,Restaurant_492,Italian,4.0"
"104,104.0,379,03-10-2023,1191.17,New Dhaba South Indian,User_104,Hyderabad,Gold,Restaurant_379,Mexican,4.1"
"105,105.0,407,01-06-2023,109.14,Grand Cafe Chinese,User_105,Hyderabad,Gold,Restaurant_407,Mexican,4.6"
"106,106.0,68,18-11-2023,1352.79,Taste of Biryani Andhra,User_106,Pune,Regular,Restaurant_68,Italian,4.1"
"107,107.0,388,05-03-2023,1037.09,Spice Cafe South Indian,User_107,Pune,Regular,Restaurant_388,Indian,3.9"
"108,108.0,5,16-04-2023,1375.29,Udupi Foods South Indian,User_108,Pune,Regular,Restaurant_5,Chinese,4.8"
"109,109.0,432,27-05-2023,1461.82,Hotel Eatery Pure Veg,User_109,Chennai,Regular,Restaurant_432,Mexican,5.0"
"110,110.0,220,04-06-2023,932.09,Spice Kitchen North Indian,User_110,Hyderabad,Gold,Restaurant_220,Mexican,3.2"
"111,111.0,66,30-03-2023,1346.23,Swagath Dhaba Punjabi,User_111,Bangalore,Regular,Restaurant_66,Italian,4.7"
"112,112.0,447,15-11-2023,149.76,Amma Biryani South Indian,User_112,Chennai,Gold,Restaurant_447,Chinese,3.2"
"113,113.0,28,13-04-2023,475.81,Swagath Delights Multicuisine,User_113,Chennai,Gold,Restaurant_28,Chinese,3.6"
"114,114.0,390,29-07-2023,842.42,Grand Restaurant Pure Veg,User_114,Bangalore,Gold,Restaurant_390,Mexican,4.7"
"115,115.0,184,17-02-2023,367.72,Annapurna Tiffins Punjabi,User_115,Pune,Gold,Restaurant_184,Mexican,3.5"
"116,116.0,319,12-03-2023,296.82,Darbar Eatery Family Restaurant,User_116,Hyderabad,Gold,Restaurant_319,Indian,3.1"
"117,117.0,328,07-05-2023,1485.31,Ruchi Curry House Andhra,User_117,Pune,Regular,Restaurant_328,Mexican,4.6"
"118,118.0,209,22-07-2023,880.41,Royal Tiffins Family Restaurant,User_118,Pune,Regular,Restaurant_209,Indian,3.6"
"119,119.0,257,18-09-2023,1008.64,Sri Kitchen Family Restaurant,User_119,Pune,Regular,Restaurant_257,Italian,3.4"
"120,120.0,379,06-08-2023,1146.39,New Dhaba South Indian,User_120,Chennai,Regular,Restaurant_379,Mexican,4.1"
"121,121.0,438,31-07-2023,930.64,Grand Biryani Pure Veg,User_121,Pune,Regular,Restaurant_438,Italian,3.2"
"122,122.0,376,01-08-2023,769.46,Amma Cafe Non-Veg,User_122,Pune,Gold,Restaurant_376,Indian,3.4"
"123,123.0,73,17-12-2023,1492.73,Spice Mess Andhra,User_123,Chennai,Gold,Restaurant_73,Mexican,3.1"
"124,124.0,102,07-06-2023,996.95,Darbar Foods Andhra,User_124,Hyderabad,Regular,Restaurant_102,Italian,4.9"
"125,125.0,14,09-10-2023,1345.86,Taste of Tiffins North Indian,User_125,Bangalore,Regular,Restaurant_14,Indian,3.8"
"126,126.0,122,29-09-2023,320.68,Amma Eatery Non-Veg,User_126,Hyderabad,Gold,Restaurant_122,Indian,3.9"
"127,127.0,309,04-01-2023,1251.4,Ruchi Curry House Multicuisine,User_127,Chennai,Gold,Restaurant_309,Indian,4.5"
"128,128.0,152,10-06-2023,379.57,Hotel Curry House Punjabi,User_128,Hyderabad,Regular,Restaurant_152,Indian,4.8"
"129,129.0,46,28-11-2023,158.62,Udupi Delights Family Restaurant,User_129,Pune,Gold,Restaurant_46,Chinese,3.6"
"130,130.0,418,05-09-2023,710.77,Annapurna Foods Multicuisine,User_130,Hyderabad,Gold,Restaurant_418,Chinese,3.3"
"131,131.0,389,10-08-2023,1406.07,Ruchi Mess Multicuisine,User_131,Chennai,Gold,Restaurant_389,Italian,4.9"
"132,132.0,302,03-03-2023,198.22,Spice Curry House Andhra,User_132,Hyderabad,Gold,Restaurant_302,Mexican,4.9"
"133,133.0,165,29-03-2023,872.28,Udupi Kitchen Chinese,User_133,Chennai,Regular,Restaurant_165,Mexican,4.3"
"134,134.0,220,24-03-2023,775.17,Spice Kitchen North Indian,User_134,Hyderabad,Regular,Restaurant_220,Mexican,3.2"
"135,135.0,483,09-11-2023,365.07,Darbar Restaurant Family Restaurant,User_135,Chennai,Regular,Restaurant_483,Chinese,4.5"
"136,136.0,175,16-02-2023,968.84,Sai Biryani Non-Veg,User_136,Pune,Gold,Restaurant_175,Chinese,4.1"
"137,137.0,20,27-05-2023,1401.56,Hotel Cafe Punjabi,User_137,Hyderabad,Gold,Restaurant_20,Indian,3.7"
"138,138.0,384,09-05-2023,1140.38,Annapurna Biryani Andhra,User_138,Hyderabad,Gold,Restaurant_384,Mexican,4.6"
"139,139.0,19,20-04-2023,1446.43,Classic Biryani Chinese,User_139,Pune,Gold,Restaurant_19,Indian,3.6"
"140,140.0,381,13-03-2023,1381.41,New Delights North Indian,User_140,Chennai,Regular,Restaurant_381,Italian,4.6"
"141,141.0,384,12-11-2023,1129.47,Annapurna Biryani Andhra,User_141,Pune,Gold,Restaurant_384,Mexican,4.6"
"142,142.0,112,07-02-2023,1331.64,Grand Cafe Punjabi,User_142,Pune,Regular,Restaurant_112,Chinese,3.2"
"143,143.0,259,22-11-2023,158.75,Amma Curry House Family Restaurant,User_143,Bangalore,Gold,Restaurant_259,Mexican,3.7"
"144,144.0,452,16-04-2023,247.03,Classic Delights Multicuisine,User_144,Pune,Regular,Restaurant_452,Chinese,4.4"
"145,145.0,11,17-09-2023,365.51,Taste of Kitchen Family Restaurant,User_145,Hyderabad,Regular,Restaurant_11,Chinese,4.9"
"146,146.0,2,20-04-2023,1250.74,Royal Delights South Indian,User_146,Bangalore,Regular,Restaurant_2,Indian,4.1"
"147,147.0,268,27-05-2023,172.91,Annapurna Biryani Multicuisine,User_147,Hyderabad,Gold,Restaurant_268,Indian,3.8"
"148,148.0,73,06-02-2023,607.82,Spice Mess Andhra,User_148,Pune,Regular,Restaurant_73,Mexican,3.1"
"149,149.0,345,24-06-2023,932.79,Sai Tiffins Chinese,User_149,Bangalore,Regular,Restaurant_345,Chinese,4.3"
"150,150.0,486,01-03-2023,1402.24,Udupi Mess Andhra,User_150,Chennai,Regular,Restaurant_486,Italian,4.1"
"151,151.0,474,07-12-2023,1148.35,Annapurna Tiffins Pure Veg,User_151,Bangalore,Regular,Restaurant_474,Mexican,3.5"
"152,152.0,176,29-09-2023,112.31,Classic Delights North Indian,User_152,Chennai,Regular,Restaurant_176,Italian,4.0"
"153,153.0,34,16-02-2023,641.49,Ruchi Dhaba Multicuisine,User_153,Pune,Gold,Restaurant_34,Chinese,4.3"
"154,154.0,244,28-05-2023,221.42,Amma Tiffins South Indian,User_154,Hyderabad,Regular,Restaurant_244,Italian,4.3"
"155,155.0,90,12-03-2023,484.27,Classic Biryani Pure Veg,User_155,Pune,Gold,Restaurant_90,Italian,4.8"
"156,156.0,179,02-08-2023,1373.33,Annapurna Foods Multicuisine,User_156,Hyderabad,Regular,Restaurant_179,Italian,3.5"
"157,157.0,120,26-05-2023,439.11,Classic Biryani Multicuisine,User_157,Bangalore,Gold,Restaurant_120,Italian,3.2"
"158,158.0,182,16-01-2023,439.9,Annapurna Restaurant Andhra,User_158,Hyderabad,Gold,Restaurant_182,Mexican,4.8"
"159,159.0,357,04-01-2023,1070.88,Grand Mess Punjabi,User_159,Chennai,Gold,Restaurant_357,Italian,3.8"
"160,160.0,381,30-03-2023,139.67,New Delights North Indian,User_160,Chennai,Gold,Restaurant_381,Italian,4.6"
"161,161.0,319,29-09-2023,175.84,Darbar Eatery Family Restaurant,User_161,Pune,Gold,Restaurant_319,Indian,3.1"
"162,162.0,208,06-11-2023,763.73,New Curry House South Indian,User_162,Bangalore,Gold,Restaurant_208,Mexican,4.7"
"163,163.0,86,26-12-2023,190.64,Sri Curry House Chinese,User_163,Chennai,Gold,Restaurant_86,Indian,4.2"
"164,164.0,104,08-08-2023,411.65,Grand Dhaba South Indian,User_164,Chennai,Regular,Restaurant_104,Chinese,4.9"
"165,165.0,325,12-05-2023,761.84,Sri Cafe North Indian,User_165,Chennai,Regular,Restaurant_325,Italian,4.5"
"166,166.0,169,06-10-2023,456.5,Ruchi Curry House Pure Veg,User_166,Hyderabad,Regular,Restaurant_169,Italian,4.2"
"167,167.0,483,11-10-2023,427.18,Darbar Restaurant Family Restaurant,User_167,Bangalore,Gold,Restaurant_483,Chinese,4.5"
"168,168.0,135,15-06-2023,1357.22,Amma Eatery Non-Veg,User_168,Hyderabad,Gold,Restaurant_135,Indian,3.7"
"169,169.0,320,07-04-2023,1013.3,Hotel Cafe Multicuisine,User_169,Bangalore,Gold,Restaurant_320,Italian,4.1"
"170,170.0,290,09-03-2023,1352.94,Taste of Kitchen Chinese,User_170,Hyderabad,Gold,Restaurant_290,Chinese,4.9"
"171,171.0,319,15-07-2023,1102.1,Darbar Eatery Family Restaurant,User_171,Hyderabad,Regular,Restaurant_319,Indian,3.1"
"172,172.0,332,22-01-2023,1307.06,Classic Delights Family Restaurant,User_172,Chennai,Gold,Restaurant_332,Chinese,4.8"
"173,173.0,109,18-06-2023,164.31,Swagath Delights South Indian,User_173,Bangalore,Regular,Restaurant_109,Chinese,5.0"
"174,174.0,371,11-12-2023,1161.71,Sai Dhaba Family Restaurant,User_174,Pune,Gold,Restaurant_371,Chinese,3.1"
"175,175.0,379,27-10-2023,1482.75,New Dhaba South Indian,User_175,Hyderabad,Gold,Restaurant_379,Mexican,4.1"
"176,176.0,171,17-12-2023,552.39,Ruchi Mess Non-Veg,User_176,Hyderabad,Gold,Restaurant_171,Mexican,3.6"
"177,177.0,117,15-05-2023,1088.98,Darbar Eatery North Indian,User_177,Chennai,Regular,Restaurant_117,Indian,3.9"
"178,178.0,375,14-05-2023,1402.18,Hotel Delights Multicuisine,User_178,Chennai,Regular,Restaurant_375,Chinese,4.3"
"179,179.0,91,07-09-2023,703.69,Annapurna Mess Non-Veg,User_179,Bangalore,Regular,Restaurant_91,Italian,4.8"
"180,180.0,399,19-05-2023,1289.82,Swagath Cafe Multicuisine,User_180,Pune,Gold,Restaurant_399,Chinese,3.2"
"181,181.0,136,20-04-2023,1437.19,Hotel Cafe South Indian,User_181,Hyderabad,Regular,Restaurant_136,Indian,3.6"
"182,182.0,123,09-02-2023,1470.97,Grand Restaurant Non-Veg,User_182,Bangalore,Regular,Restaurant_123,Chinese,4.2"
"183,183.0,489,26-06-2023,561.65,Swagath Foods Punjabi,User_183,Chennai,Gold,Restaurant_489,Italian,3.0"
"184,184.0,391,09-03-2023,518.58,Sri Biryani Family Restaurant,User_184,Chennai,Regular,Restaurant_391,Indian,3.3"
"185,185.0,54,13-08-2023,105.4,Ruchi Tiffins Multicuisine,User_185,Hyderabad,Gold,Restaurant_54,Italian,4.9"
"186,186.0,285,31-05-2023,1028.25,Ruchi Eatery North Indian,User_186,Chennai,Regular,Restaurant_285,Mexican,4.8"
"187,187.0,116,22-06-2023,803.92,Grand Cafe Punjabi,User_187,Chennai,Gold,Restaurant_116,Chinese,4.2"
"188,188.0,277,30-06-2023,558.85,Swagath Restaurant North Indian,User_188,Hyderabad,Regular,Restaurant_277,Mexican,3.3"
"189,189.0,442,02-09-2023,805.04,Sai Eatery Andhra,User_189,Bangalore,Gold,Restaurant_442,Italian,3.7"
"190,190.0,237,13-03-2023,501.58,Grand Restaurant South Indian,User_190,Bangalore,Gold,Restaurant_237,Italian,4.5"
"191,191.0,116,05-05-2023,1340.73,Grand Cafe Punjabi,User_191,Chennai,Regular,Restaurant_116,Chinese,4.2"
"192,192.0,76,24-04-2023,862.55,Amma Kitchen Punjabi,User_192,Chennai,Regular,Restaurant_76,Italian,4.7"
"193,193.0,126,20-01-2023,261.66,Spice Tiffins North Indian,User_193,Hyderabad,Gold,Restaurant_126,Italian,4.5"
"194,194.0,183,17-07-2023,401.42,Taste of Biryani Non-Veg,User_194,Pune,Regular,Restaurant_183,Chinese,3.7"
"195,195.0,58,12-02-2023,1179.75,Sai Biryani Multicuisine,User_195,Hyderabad,Gold,Restaurant_58,Indian,4.4"
"196,196.0,254,25-07-2023,967.6,Ruchi Dhaba Chinese,User_196,Hyderabad,Gold,Restaurant_254,Indian,4.7"
"197,197.0,58,03-03-2023,619.68,Sai Biryani Multicuisine,User_197,Hyderabad,Gold,Restaurant_58,Indian,4.4"
"198,198.0,243,05-04-2023,1389.57,Grand Tiffins South Indian,User_198,Pune,Gold,Restaurant_243,Chinese,4.8"
"199,199.0,94,06-10-2023,844.75,Taste of Eatery Andhra,User_199,Pune,Gold,Restaurant_94,Chinese,4.5"
"200,200.0,263,08-02-2023,258.38,Grand Curry House Andhra,User_200,Hyderabad,Regular,Restaurant_263,Indian,4.4"
"201,201.0,49,20-05-2023,375.74,Amma Curry House Punjabi,User_201,Chennai,Gold,Restaurant_49,Italian,4.0"
"202,202.0,43,25-02-2023,1169.6,Sai Cafe North Indian,User_202,Chennai,Regular,Restaurant_43,Chinese,4.9"
"203,203.0,376,30-01-2023,986.26,Amma Cafe Non-Veg,User_203,Pune,Gold,Restaurant_376,Indian,3.4"
"204,204.0,364,23-10-2023,1164.27,Sri Foods Non-Veg,User_204,Bangalore,Regular,Restaurant_364,Mexican,3.4"
"205,205.0,54,25-12-2023,121.12,Ruchi Tiffins Multicuisine,User_205,Pune,Gold,Restaurant_54,Italian,4.9"
"206,206.0,308,17-12-2023,200.98,Annapurna Biryani Family Restaurant,User_206,Hyderabad,Regular,Restaurant_308,Italian,4.3"
"207,207.0,218,23-02-2023,1441.98,Sai Foods Pure Veg,User_207,Bangalore,Gold,Restaurant_218,Indian,4.1"
"208,208.0,352,02-03-2023,1250.84,Hotel Kitchen Multicuisine,User_208,Bangalore,Regular,Restaurant_352,Italian,4.7"
"209,209.0,232,01-02-2023,353.88,New Dhaba Family Restaurant,User_209,Pune,Regular,Restaurant_232,Mexican,4.0"
"210,210.0,458,02-05-2023,169.2,Swagath Mess Pure Veg,User_210,Chennai,Regular,Restaurant_458,Italian,4.8"
"211,211.0,437,26-12-2023,484.58,Swagath Tiffins Chinese,User_211,Bangalore,Regular,Restaurant_437,Indian,3.3"
"212,212.0,20,10-11-2023,390.16,Hotel Cafe Punjabi,User_212,Pune,Regular,Restaurant_20,Indian,3.7"
"213,213.0,374,24-05-2023,701.52,Annapurna Curry House Multicuisine,User_213,Hyderabad,Gold,Restaurant_374,Mexican,3.6"
